origin,destination,destination_min,destination_max,destination_count,destination_arrange,mode,avoid,timezone,departure_time,departure_time_min,departure_time_max,departure_time_delta,units
One Prudential Plaza Chicago IL,,41.961216;-87.713354,41.940123;-87.649377,4;5,grid,driving,tolls,central,,04/19/2017 05:00,04/19/2017 21:00,15,imperial
One Prudential Plaza Chicago IL,,42.070181;-87.753384,41.993628;-87.676576,4;5,grid,transit,,central,,04/19/2017 05:00,04/19/2017 21:00,15,imperial
