origin,origin_min,origin_max,origin_count,origin_arrange,destination,mode,avoid,timezone,departure_time,departure_time_min,departure_time_max,departure_time_delta,units
,41.961216;-87.713354,41.940123;-87.649377,4;5,grid,One Prudential Plaza Chicago IL,driving,tolls,central,,04/19/2017 05:00,04/19/2017 21:00,15,imperial
,41.961216;-87.713354,41.940123;-87.649377,4;5,grid,One Prudential Plaza Chicago IL,transit,,central,,04/19/2017 05:00,04/19/2017 21:00,15,imperial
