origin,destination,destination_min,destination_max,destination_count,destination_arrange,mode,avoid,timezone,departure_time,departure_time_min,departure_time_max,departure_time_delta,units
Harold Washington Library Center Chicago IL,,41.997519;-87.740903,41.968967;-87.665765,4;5,grid,driving,tolls,central,,04/19/2017 05:00,04/19/2017 21:00,15,imperial
Harold Washington Library Center Chicago IL,,41.880345;-87.769499,41.850149;-87.727384,4;4,grid,transit,,central,,04/19/2017 05:00,04/19/2017 21:00,15,imperial
