origin|avoid|destination|mode|units|departure_time|distance|end_y|start_y|duration-sec|start_x|duration_in_traffic-sec|duration|end_x|duration_in_traffic
Target Field Minneapolis MN||Minneapolis-Saint Paul International Airport|transit|imperial|2017-03-22 01:10:00.540713|8.9 mi|44.88073199999999|44.9807362|1787|-93.2785451|n/a|30 mins|-93.205067|n/a
Target Field Minneapolis MN|tolls|Minneapolis-Saint Paul International Airport|driving|imperial|2017-03-22 01:15:00.108608|12.5 mi|44.8803389|44.9807362|1065|-93.2785451|1022|18 mins|-93.2012623|17 mins
Target Field Minneapolis MN||Minneapolis-Saint Paul International Airport|transit|imperial|2017-03-22 01:15:00.846840|18.6 mi|44.881346|44.9807362|4667|-93.2785451|n/a|1 hour 18 mins|-93.205536|n/a
Target Field Minneapolis MN|tolls|Minneapolis-Saint Paul International Airport|driving|imperial|2017-03-22 01:20:00.109101|12.5 mi|44.8803389|44.9807362|1065|-93.2785451|1020|18 mins|-93.2012623|17 mins
Target Field Minneapolis MN||Minneapolis-Saint Paul International Airport|transit|imperial|2017-03-22 01:20:00.538670|18.6 mi|44.881346|44.9807362|4667|-93.2785451|n/a|1 hour 18 mins|-93.205536|n/a
Target Field Minneapolis MN|tolls|Minneapolis-Saint Paul International Airport|driving|imperial|2017-03-22 01:25:00.108675|12.5 mi|44.8803389|44.9807362|1065|-93.2785451|1042|18 mins|-93.2012623|17 mins
Target Field Minneapolis MN||Minneapolis-Saint Paul International Airport|transit|imperial|2017-03-22 01:25:00.500519|18.6 mi|44.881346|44.9807362|4667|-93.2785451|n/a|1 hour 18 mins|-93.205536|n/a
Target Field Minneapolis MN|tolls|Minneapolis-Saint Paul International Airport|driving|imperial|2017-03-22 01:30:00.108545|12.5 mi|44.8803389|44.9807362|1065|-93.2785451|1055|18 mins|-93.2012623|18 mins
Target Field Minneapolis MN||Minneapolis-Saint Paul International Airport|transit|imperial|2017-03-22 01:30:00.928638|18.6 mi|44.881346|44.9807362|4667|-93.2785451|n/a|1 hour 18 mins|-93.205536|n/a
Target Field Minneapolis MN|tolls|Minneapolis-Saint Paul International Airport|driving|imperial|2017-03-22 01:35:00.109049|12.5 mi|44.8803389|44.9807362|1065|-93.2785451|1048|18 mins|-93.2012623|17 mins
Target Field Minneapolis MN||Minneapolis-Saint Paul International Airport|transit|imperial|2017-03-22 01:35:00.510356|18.6 mi|44.881346|44.9807362|4667|-93.2785451|n/a|1 hour 18 mins|-93.205536|n/a
Target Field Minneapolis MN|tolls|Minneapolis-Saint Paul International Airport|driving|imperial|2017-03-22 01:40:00.104039|12.5 mi|44.8803389|44.9807362|1065|-93.2785451|1030|18 mins|-93.2012623|17 mins
Target Field Minneapolis MN||Minneapolis-Saint Paul International Airport|transit|imperial|2017-03-22 01:40:01.252039|18.6 mi|44.881346|44.9807362|4667|-93.2785451|n/a|1 hour 18 mins|-93.205536|n/a
Target Field Minneapolis MN|tolls|Minneapolis-Saint Paul International Airport|driving|imperial|2017-03-22 01:45:00.108395|12.5 mi|44.8803389|44.9807362|1065|-93.2785451|1034|18 mins|-93.2012623|17 mins
Target Field Minneapolis MN||Minneapolis-Saint Paul International Airport|transit|imperial|2017-03-22 01:45:00.970185|18.6 mi|44.881346|44.9807362|4667|-93.2785451|n/a|1 hour 18 mins|-93.205536|n/a
Target Field Minneapolis MN|tolls|Minneapolis-Saint Paul International Airport|driving|imperial|2017-03-22 01:50:00.108990|12.5 mi|44.8803389|44.9807362|1065|-93.2785451|1037|18 mins|-93.2012623|17 mins
Target Field Minneapolis MN||Minneapolis-Saint Paul International Airport|transit|imperial|2017-03-22 01:50:00.566234|18.6 mi|44.881346|44.9807362|4667|-93.2785451|n/a|1 hour 18 mins|-93.205536|n/a
Target Field Minneapolis MN|tolls|Minneapolis-Saint Paul International Airport|driving|imperial|2017-03-22 01:55:00.109059|12.5 mi|44.8803389|44.9807362|1065|-93.2785451|1047|18 mins|-93.2012623|17 mins
Target Field Minneapolis MN||Minneapolis-Saint Paul International Airport|transit|imperial|2017-03-22 01:55:00.557128|18.6 mi|44.881346|44.9807362|4667|-93.2785451|n/a|1 hour 18 mins|-93.205536|n/a
Target Field Minneapolis MN|tolls|Minneapolis-Saint Paul International Airport|driving|imperial|2017-03-22 02:00:00.109190|12.5 mi|44.8803389|44.9807362|1065|-93.2785451|1027|18 mins|-93.2012623|17 mins
Target Field Minneapolis MN||Minneapolis-Saint Paul International Airport|transit|imperial|2017-03-22 02:00:00.939956|18.6 mi|44.881346|44.9807362|4667|-93.2785451|n/a|1 hour 18 mins|-93.205536|n/a
