origin|split_on_leg|avoid|destination|mode|units|timezone|departure_time|split_point|end_y|end_x|duration_in_traffic-sec|distance_m|duration-sec|start_x|start_y|end_y|end_x|duration_in_traffic-sec|distance_m|duration-sec|start_x|start_y
Ohare Airport||tolls|Wrigley Field Chicago IL|driving|imperial|central|2017-04-12 05:00:00-05:00||41.9472917|-87.6565753|1511|21777|1730|-87.88225249999999|41.9797233|||||||
Ohare Airport||tolls|Wrigley Field Chicago IL|driving|imperial|central|2017-04-12 05:12:00-05:00||41.947147|-87.65618099999999|n/a|22533|3022|-87.90422099999999|41.97766499999999|||||||
Ohare Airport||tolls|Wrigley Field Chicago IL|driving|imperial|central|2017-04-12 05:24:00-05:00||41.947147|-87.65618099999999|n/a|22533|3062|-87.90422099999999|41.97766499999999|||||||
Ohare Airport||tolls|Wrigley Field Chicago IL|driving|imperial|central|2017-04-12 05:12:00-05:00|41.9472665/-87.7191813|41.9472665|-87.7191813|691|16529|756|-87.88225249999999|41.9797233|41.947147|-87.65618099999999|n/a|5332|1079|-87.71824699999999|41.9473745
Ohare Airport||tolls|Wrigley Field Chicago IL|driving|imperial|central|2017-04-12 05:12:00-05:00|41.9706621/-87.7612831|41.9706621|-87.7612831|539|12170|567|-87.88225249999999|41.9797233|41.947147|-87.65618099999999|n/a|9641|1798|-87.76089499999999|41.970634
Ohare Airport||tolls|Wrigley Field Chicago IL|driving|imperial|central|2017-04-12 05:12:00-05:00|41.9841479/-87.8381263|41.9841479|-87.8381263|289|5384|301|-87.88225249999999|41.9797233|41.947147|-87.65618099999999|n/a|16462|2322|-87.838028|41.984245
Ohare Airport||tolls|Wrigley Field Chicago IL|driving|imperial|central|2017-04-12 05:12:00-05:00|41.9833846/-87.8594649|41.9833846|-87.85946489999999|215|3616|228|-87.88225249999999|41.9797233|41.947147|-87.65618099999999|n/a|18225|2752|-87.85939|41.983505
Ohare Airport||tolls|Wrigley Field Chicago IL|driving|imperial|central|2017-04-12 05:12:00-05:00|41.9777944/-87.9040972|41.9777944|-87.90409720000001|271|3113|333|-87.88225249999999|41.9797233|41.947147|-87.65618099999999|n/a|22533|3082|-87.90422099999999|41.97766499999999
Ohare Airport||tolls|Wrigley Field Chicago IL|driving|imperial|central|2017-04-12 05:12:00-05:00|41.9613378/-87.7437804|41.9613378|-87.74378039999999|816|15351|918|-87.88225249999999|41.9797233|41.947147|-87.65618099999999|n/a|7883|1747|-87.74357599999999|41.96154
Ohare Airport||tolls|Wrigley Field Chicago IL|driving|imperial|central|2017-04-12 05:12:00-05:00|41.9822096/-87.8075105|41.9822096|-87.8075105|384|7943|406|-87.88225249999999|41.9797233|41.947147|-87.65618099999999|n/a|13906|2088|-87.8075119|41.9823319
Ohare Airport||tolls|Wrigley Field Chicago IL|driving|imperial|central|2017-04-12 05:24:00-05:00|41.946712/-87.685928|41.946712|-87.68592799999999|n/a|20034|2496|-87.90422099999999|41.97766499999999|41.9472917|-87.6565753|348|2448|429|-87.685929|41.9467579
Ohare Airport||tolls|Wrigley Field Chicago IL|driving|imperial|central|2017-04-12 05:24:00-05:00|41.9466122/-87.7089595|41.9466122|-87.70895949999999|n/a|18085|1902|-87.90422099999999|41.97766499999999|41.9472917|-87.6565753|627|4353|777|-87.70895949999999|41.9466122
