origin|split_on_leg|avoid|destination|mode|units|timezone|departure_time|split_point|distance|end_y|end_x|duration_in_traffic-sec|duration-sec|start_x|start_y|distance|end_y|end_x|duration_in_traffic-sec|duration-sec|start_x|start_y
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-12 05:24:00-05:00|Court Square-23 Street Station|4.0 mi|40.7480716|-73.9471688|1124|1204|-73.9932975|40.7295629|6.4 mi|40.774059|-73.87185699999999|n/a|1500|-73.9472068|40.74795599999999
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-12 05:24:00-05:00|Northern Blvd|8.0 mi|40.7530768|-73.9069949|1379|1566|-73.99977539999999|40.7271183|4.2 mi|40.774059|-73.87185699999999|n/a|1500|-73.9071013|40.7531039
New York University|end||LaGuardia Airport|transit|imperial|eastern|2017-04-12 05:24:00-05:00|74 St/Roosevelt Av Station|8.5 mi|40.746543|-73.890732|n/a|1763|-73.99433259999999|40.7285304|2.9 mi|40.7714389|-73.8718939|434|414|-73.890765|40.7464059
New York University|end||LaGuardia Airport|transit|imperial|eastern|2017-04-12 05:24:00-05:00|LaGuardia Airport|11.6 mi|40.774059|-73.87185699999999|n/a|2739|-73.99433259999999|40.7285304|0.2 mi|40.7734911|-73.8758586|90|96|-73.8720814|40.7740263
New York University||tolls|LaGuardia Airport|driving|imperial|eastern|2017-04-12 05:36:00-05:00||9.9 mi|40.7714389|-73.8718939|1296|1475|-73.99977539999999|40.7271183
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-12 05:36:00-05:00||11.3 mi|40.774059|-73.87185699999999|n/a|2559|-73.99433259999999|40.7285304
New York University|end||LaGuardia Airport|transit|imperial|eastern|2017-04-12 05:36:00-05:00||11.3 mi|40.774059|-73.87185699999999|n/a|2559|-73.99433259999999|40.7285304
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-12 05:36:00-05:00|West 4 Street - Washington Square Station|0.2 mi|40.73101|-74.0013002|104|130|-74.0001873|40.7313277|10.9 mi|40.774059|-73.87185699999999|n/a|2280|-74.0012201|40.7311041
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-12 05:36:00-05:00|47-50 Streets - Rockefeller Center Station|2.5 mi|40.7578741|-73.9819016|672|1035|-73.99977539999999|40.7271183|8.8 mi|40.774059|-73.87185699999999|n/a|1800|-73.98179069999999|40.7578276
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-12 05:36:00-05:00|36 St|5.3 mi|40.7520038|-73.9287806|1324|1738|-73.9932975|40.7295629|5.6 mi|40.774059|-73.87185699999999|n/a|1560|-73.928781|40.752039
