origin|split_on_leg|avoid|destination|mode|units|timezone|departure_time|split_point|end_y|end_x|duration_in_traffic-sec|distance_m|duration-sec|start_x|start_y|end_y|end_x|duration_in_traffic-sec|distance_m|duration-sec|start_x|start_y
Washington Park Chicago IL||tolls|Ohare Airport|driving|imperial|central|2017-04-05 05:10:00-05:00|41.9823319/-87.8075119|41.9823319|-87.8075119|n/a|30489|3613|-87.61759029999999|41.7929603|41.9797233|-87.88225249999999|259|6370|274|-87.8075138|41.9824533
Washington Park Chicago IL||tolls|Ohare Airport|driving|imperial|central|2017-04-05 05:15:00-05:00||41.9797233|-87.88225249999999|1593|36662|1839|-87.61759029999999|41.7929603|||||||
Washington Park Chicago IL||tolls|Ohare Airport|driving|imperial|central|2017-04-05 05:20:00-05:00||41.97766499999999|-87.90422099999999|n/a|39116|4244|-87.61759029999999|41.7929603|||||||
Washington Park Chicago IL||tolls|Ohare Airport|driving|imperial|central|2017-04-05 05:25:00-05:00||41.97766499999999|-87.90422099999999|n/a|39116|4244|-87.61759029999999|41.7929603|||||||
Washington Park Chicago IL||tolls|Ohare Airport|driving|imperial|central|2017-04-05 05:20:00-05:00|41.8857335/-87.6315556|41.8857335|-87.6315556|968|13304|1149|-87.61759029999999|41.7929603|41.97766499999999|-87.90422099999999|n/a|27722|2397|-87.6315547|41.8857522
Washington Park Chicago IL||tolls|Ohare Airport|driving|imperial|central|2017-04-05 05:20:00-05:00|41.8319786/-87.625978|41.8319786|-87.62597799999999|553|5957|579|-87.61759029999999|41.7929603|41.97766499999999|-87.90422099999999|n/a|34149|3622|-87.6258739|41.8319805
Washington Park Chicago IL||tolls|Ohare Airport|driving|imperial|central|2017-04-05 05:20:00-05:00|41.8857694/-87.6279402|41.8857694|-87.6279402|1031|13604|1244|-87.61759029999999|41.7929603|41.97766499999999|-87.90422099999999|n/a|28000|2598|-87.62802219999999|41.885817
Washington Park Chicago IL||tolls|Ohare Airport|driving|imperial|central|2017-04-05 05:20:00-05:00|41.8849932/-87.6278985|41.8849932|-87.6278985|977|13512|1234|-87.61759029999999|41.7929603|41.97766499999999|-87.90422099999999|n/a|28457|2686|-87.6278136|41.8849937
Washington Park Chicago IL||tolls|Ohare Airport|driving|imperial|central|2017-04-05 05:20:00-05:00|41.7947391/-87.618398|41.79473910000001|-87.618398|103|536|110|-87.61755509999999|41.7929609|41.97766499999999|-87.90422099999999|n/a|38739|4006|-87.61832400000002|41.795174
Washington Park Chicago IL||tolls|Ohare Airport|driving|imperial|central|2017-04-05 05:20:00-05:00|41.8741479/-87.6275161|41.8741479|-87.6275161|916|10514|965|-87.61759029999999|41.7929603|41.97766499999999|-87.90422099999999|n/a|29659|2974|-87.6275161|41.8741479
