origin,origin_min,origin_max,origin_count,origin_arrange,destination,mode,avoid,timezone,departure_time,departure_time_min,departure_time_max,departure_time_delta,units
,42.070181;-87.753384,41.993628;-87.676576,4;3,grid,Willis Tower Chicago IL,driving,tolls,central,,04/17/2017 05:00,04/17/2017 22:00,12,imperial
,42.070181;-87.753384,41.993628;-87.676576,4;3,grid,Willis Tower Chicago IL,transit,,central,,04/17/2017 05:00,04/17/2017 22:00,12,imperial
