origin,destination,destination_min,destination_max,destination_count,destination_arrange,mode,avoid,timezone,departure_time,departure_time_min,departure_time_max,departure_time_delta,units
Willis Tower Chicago IL,,42.070181;-87.753384,41.993628;-87.676576,4;3,grid,driving,tolls,central,,04/17/2017 05:00,04/17/2017 22:00,12,imperial
Willis Tower Chicago IL,,42.070181;-87.753384,41.993628;-87.676576,4;3,grid,transit,,central,,04/17/2017 05:00,04/17/2017 22:00,12,imperial
