origin,destination,destination_min,destination_max,destination_count,destination_arrange,mode,avoid,timezone,departure_time,departure_time_min,departure_time_max,departure_time_delta,units
John Hancock Center Chicago IL,,41.880345;-87.769499,41.850149;-87.727384,4;4,grid,driving,tolls,central,,04/17/2017 05:00,04/17/2017 22:00,12,imperial
John Hancock Center Chicago IL,,41.880345;-87.769499,41.850149;-87.727384,4;4,grid,transit,,central,,04/17/2017 05:00,04/17/2017 22:00,12,imperial
