origin|avoid|destination|mode|units|timezone|departure_time|end_y|end_x|duration_in_traffic-sec|distance_m|duration-sec|start_x|start_y
(41.880345, -87.769499)|tolls|John Hancock Center Chicago IL|driving|imperial|central|2017-04-17 05:00:00-05:00|41.8988773|-87.6240352|1133|17364|1428|-87.7694957|41.8802565
(41.880345, -87.75546066666666)|tolls|John Hancock Center Chicago IL|driving|imperial|central|2017-04-17 05:00:00-05:00|41.8988773|-87.6240352|1028|15374|1315|-87.7554621|41.8803905
(41.880345, -87.74142233333333)|tolls|John Hancock Center Chicago IL|driving|imperial|central|2017-04-17 05:00:00-05:00|41.8988773|-87.6240352|979|13999|1258|-87.7414263|41.8805412
(41.880345, -87.727384)|tolls|John Hancock Center Chicago IL|driving|imperial|central|2017-04-17 05:00:00-05:00|41.8988773|-87.6240352|952|12775|1242|-87.727391|41.8807148
(41.87027966666667, -87.769499)|tolls|John Hancock Center Chicago IL|driving|imperial|central|2017-04-17 05:00:00-05:00|41.8988773|-87.6240352|1029|16392|1236|-87.7695292|41.8700368
(41.87027966666667, -87.75546066666666)|tolls|John Hancock Center Chicago IL|driving|imperial|central|2017-04-17 05:00:00-05:00|41.8988773|-87.6240352|906|14436|1149|-87.7553298|41.87028189999999
(41.87027966666667, -87.74142233333333)|tolls|John Hancock Center Chicago IL|driving|imperial|central|2017-04-17 05:00:00-05:00|41.8988773|-87.6240352|915|13422|1165|-87.7414271|41.8705003
(41.87027966666667, -87.727384)|tolls|John Hancock Center Chicago IL|driving|imperial|central|2017-04-17 05:00:00-05:00|41.8988773|-87.6240352|901|12329|1159|-87.7273711|41.8699987
(41.86021433333333, -87.769499)|tolls|John Hancock Center Chicago IL|driving|imperial|central|2017-04-17 05:00:00-05:00|41.8988773|-87.6240352|1159|16707|1411|-87.76968389999999|41.8602113
(41.86021433333333, -87.75546066666666)|tolls|John Hancock Center Chicago IL|driving|imperial|central|2017-04-17 05:00:00-05:00|41.8988773|-87.6240352|987|15499|1247|-87.7543507|41.860259
(41.86021433333333, -87.74142233333333)|tolls|John Hancock Center Chicago IL|driving|imperial|central|2017-04-17 05:00:00-05:00|41.8988773|-87.6240352|1096|15066|1359|-87.7428429|41.8595473
(41.86021433333333, -87.727384)|tolls|John Hancock Center Chicago IL|driving|imperial|central|2017-04-17 05:00:00-05:00|41.8988773|-87.6240352|1059|14983|1343|-87.72743659999999|41.8602132
(41.850149, -87.769499)|tolls|John Hancock Center Chicago IL|driving|imperial|central|2017-04-17 05:00:00-05:00|41.8988773|-87.6240352|1351|18158|1671|-87.77002069999999|41.8501398
(41.850149, -87.75546066666666)|tolls|John Hancock Center Chicago IL|driving|imperial|central|2017-04-17 05:00:00-05:00|41.8988773|-87.6240352|1176|16906|1475|-87.755462|41.8501957
(41.850149, -87.74142233333333)|tolls|John Hancock Center Chicago IL|driving|imperial|central|2017-04-17 05:00:00-05:00|41.8988773|-87.6240352|1170|15770|1433|-87.7417727|41.8501427
(41.850149, -87.727384)|tolls|John Hancock Center Chicago IL|driving|imperial|central|2017-04-17 05:00:00-05:00|41.8988773|-87.6240352|1190|16089|1471|-87.7273858|41.8501518
(41.880345, -87.769499)||John Hancock Center Chicago IL|transit|imperial|central|2017-04-17 05:00:00-05:00|41.898416|-87.6223382|n/a|14251|3494|-87.76992|41.880089
(41.880345, -87.75546066666666)||John Hancock Center Chicago IL|transit|imperial|central|2017-04-17 05:00:00-05:00|41.898416|-87.6223382|n/a|13687|2698|-87.7554621|41.8803905
(41.880345, -87.74142233333333)||John Hancock Center Chicago IL|transit|imperial|central|2017-04-17 05:00:00-05:00|41.898416|-87.6223382|n/a|11886|3061|-87.7414263|41.8805412
(41.880345, -87.727384)||John Hancock Center Chicago IL|transit|imperial|central|2017-04-17 05:00:00-05:00|41.898416|-87.6223382|n/a|10783|2491|-87.727391|41.8807148
(41.87027966666667, -87.769499)||John Hancock Center Chicago IL|transit|imperial|central|2017-04-17 05:00:00-05:00|41.898416|-87.6223382|n/a|16200|3001|-87.7695292|41.8700368
(41.87027966666667, -87.75546066666666)||John Hancock Center Chicago IL|transit|imperial|central|2017-04-17 05:00:00-05:00|41.898416|-87.6223382|n/a|13923|3092|-87.7553298|41.87028189999999
(41.87027966666667, -87.74142233333333)||John Hancock Center Chicago IL|transit|imperial|central|2017-04-17 05:00:00-05:00|41.898416|-87.6223382|n/a|13558|2851|-87.7414271|41.8705003
(41.87027966666667, -87.727384)||John Hancock Center Chicago IL|transit|imperial|central|2017-04-17 05:00:00-05:00|41.898416|-87.6223382|n/a|12033|2699|-87.7277715|41.870272
(41.86021433333333, -87.769499)||John Hancock Center Chicago IL|transit|imperial|central|2017-04-17 05:00:00-05:00|41.898416|-87.6223382|n/a|17473|3873|-87.76968389999999|41.8602113
(41.86021433333333, -87.75546066666666)||John Hancock Center Chicago IL|transit|imperial|central|2017-04-17 05:00:00-05:00|41.898416|-87.6223382|n/a|15511|3112|-87.7543176|41.8601951
(41.86021433333333, -87.74142233333333)||John Hancock Center Chicago IL|transit|imperial|central|2017-04-17 05:00:00-05:00|41.898416|-87.6223382|n/a|14525|3626|-87.7428429|41.8595473
(41.86021433333333, -87.727384)||John Hancock Center Chicago IL|transit|imperial|central|2017-04-17 05:00:00-05:00|41.898416|-87.6223382|n/a|14396|3231|-87.72743659999999|41.8602132
(41.850149, -87.769499)||John Hancock Center Chicago IL|transit|imperial|central|2017-04-17 05:00:00-05:00|41.898416|-87.6223382|n/a|17671|3683|-87.77002069999999|41.8501398
(41.850149, -87.75546066666666)||John Hancock Center Chicago IL|transit|imperial|central|2017-04-17 05:00:00-05:00|41.898416|-87.6223382|n/a|16739|3448|-87.755462|41.8501957
(41.850149, -87.74142233333333)||John Hancock Center Chicago IL|transit|imperial|central|2017-04-17 05:00:00-05:00|41.898416|-87.6223382|n/a|16193|3053|-87.7417727|41.8501427
(41.850149, -87.727384)||John Hancock Center Chicago IL|transit|imperial|central|2017-04-17 05:00:00-05:00|41.898416|-87.6223382|n/a|14499|2871|-87.7273858|41.8501518
(41.880345, -87.769499)|tolls|John Hancock Center Chicago IL|driving|imperial|central|2017-04-17 05:12:00-05:00|41.8988773|-87.6240352|1203|17051|1297|-87.7694957|41.8802565
(41.880345, -87.75546066666666)|tolls|John Hancock Center Chicago IL|driving|imperial|central|2017-04-17 05:12:00-05:00|41.8988773|-87.6240352|1106|15061|1184|-87.7554621|41.8803905
(41.880345, -87.74142233333333)|tolls|John Hancock Center Chicago IL|driving|imperial|central|2017-04-17 05:12:00-05:00|41.8988773|-87.6240352|1057|13686|1127|-87.7414263|41.8805412
(41.880345, -87.727384)|tolls|John Hancock Center Chicago IL|driving|imperial|central|2017-04-17 05:12:00-05:00|41.8988773|-87.6240352|1038|12462|1111|-87.727391|41.8807148
(41.87027966666667, -87.769499)|tolls|John Hancock Center Chicago IL|driving|imperial|central|2017-04-17 05:12:00-05:00|41.8988773|-87.6240352|1099|16079|1105|-87.7695292|41.8700368
(41.87027966666667, -87.75546066666666)|tolls|John Hancock Center Chicago IL|driving|imperial|central|2017-04-17 05:12:00-05:00|41.8988773|-87.6240352|979|14123|1018|-87.7553298|41.87028189999999
(41.87027966666667, -87.74142233333333)|tolls|John Hancock Center Chicago IL|driving|imperial|central|2017-04-17 05:12:00-05:00|41.8988773|-87.6240352|990|13109|1034|-87.7414271|41.8705003
(41.87027966666667, -87.727384)|tolls|John Hancock Center Chicago IL|driving|imperial|central|2017-04-17 05:12:00-05:00|41.8988773|-87.6240352|990|11962|1031|-87.7277715|41.870272
(41.86021433333333, -87.769499)|tolls|John Hancock Center Chicago IL|driving|imperial|central|2017-04-17 05:12:00-05:00|41.8988773|-87.6240352|1227|16395|1280|-87.76968389999999|41.8602113
(41.86021433333333, -87.75546066666666)|tolls|John Hancock Center Chicago IL|driving|imperial|central|2017-04-17 05:12:00-05:00|41.8988773|-87.6240352|1048|15186|1116|-87.7543507|41.860259
(41.86021433333333, -87.74142233333333)|tolls|John Hancock Center Chicago IL|driving|imperial|central|2017-04-17 05:12:00-05:00|41.8988773|-87.6240352|1167|14753|1228|-87.7428429|41.8595473
(41.86021433333333, -87.727384)|tolls|John Hancock Center Chicago IL|driving|imperial|central|2017-04-17 05:12:00-05:00|41.8988773|-87.6240352|1135|14670|1212|-87.72743659999999|41.8602132
(41.850149, -87.769499)|tolls|John Hancock Center Chicago IL|driving|imperial|central|2017-04-17 05:12:00-05:00|41.8988773|-87.6240352|1429|17800|1505|-87.77002069999999|41.8501398
