origin|split_on_leg|drive_leg|avoid|destination|mode|units|timezone|departure_time|split_point|distance|end_y|end_x|duration_in_traffic-sec|duration-sec|start_x|start_y|distance|end_y|end_x|duration_in_traffic-sec|duration-sec|start_x|start_y
Harvard transit station Boston MA|begin|start||Airport station Boston MA|transit|imperial|eastern|2017-04-12 04:24:00-05:00|Harvard|20 ft|42.3732593|-71.1187348|1|2|-71.1186766|42.3732897|5.6 mi|42.374262|-71.030395|n/a|1980|-71.118956|42.373362
Harvard transit station Boston MA|begin|start||Airport station Boston MA|transit|imperial|eastern|2017-04-12 04:24:00-05:00|Central|1.0 mi|42.3653463|-71.103606|344|431|-71.1186766|42.3732897|4.7 mi|42.374262|-71.030395|n/a|1647|-71.103802|42.365486
Harvard transit station Boston MA|end|finish||Airport station Boston MA|transit|imperial|eastern|2017-04-12 04:24:00-05:00|State|3.7 mi|42.3586466|-71.057326|n/a|1097|-71.118956|42.373362|3.1 mi|42.3747715|-71.0290294|559|641|-71.0571914|42.3586696
Harvard transit station Boston MA|end|finish||Airport station Boston MA|transit|imperial|eastern|2017-04-12 04:24:00-05:00|Maverick|5.0 mi|42.3691186|-71.0395296|n/a|1860|-71.118956|42.373362|1.4 mi|42.3747715|-71.0290294|279|318|-71.0396719|42.3691933
Harvard transit station Boston MA|end|finish||Airport station Boston MA|transit|imperial|eastern|2017-04-12 04:24:00-05:00|Aquarium|4.0 mi|42.3597918|-71.0515702|n/a|1478|-71.118956|42.373362|3.1 mi|42.3747715|-71.0290294|563|669|-71.0515464|42.3596586
Harvard transit station Boston MA|end|finish||Airport station Boston MA|transit|imperial|eastern|2017-04-12 04:24:00-05:00|Airport Station|5.6 mi|42.374262|-71.030395|n/a|1911|-71.118956|42.373362|0.6 mi|42.3747715|-71.0290294|106|108|-71.0305389|42.3745164
Harvard transit station Boston MA|||tolls|Airport station Boston MA|driving|imperial|eastern|2017-04-12 04:36:00-05:00||9.4 mi|42.3747715|-71.0290294|1455|1582|-71.1191387|42.3736294|||||||
Harvard transit station Boston MA|begin|||Airport station Boston MA|transit|imperial|eastern|2017-04-12 04:36:00-05:00||5.6 mi|42.374262|-71.030395|n/a|1921|-71.118956|42.373362|||||||
Harvard transit station Boston MA|end|||Airport station Boston MA|transit|imperial|eastern|2017-04-12 04:36:00-05:00||5.6 mi|42.374262|-71.030395|n/a|1903|-71.118956|42.373362|||||||
Harvard transit station Boston MA|begin|start||Airport station Boston MA|transit|imperial|eastern|2017-04-12 04:36:00-05:00|Kendall|2.3 mi|42.3623895|-71.0862031|554|702|-71.1191387|42.3736294|3.7 mi|42.374262|-71.030395|n/a|1414|-71.0862248|42.3622401
Harvard transit station Boston MA|begin|start||Airport station Boston MA|transit|imperial|eastern|2017-04-12 04:36:00-05:00|Charles/MGH|2.9 mi|42.3611521|-71.070619|706|852|-71.1191387|42.3736294|2.7 mi|42.374262|-71.030395|n/a|1050|-71.0705298|42.3611271
Harvard transit station Boston MA|begin|start||Airport station Boston MA|transit|imperial|eastern|2017-04-12 04:36:00-05:00|Harvard|20 ft|42.3732593|-71.1187348|1|2|-71.1186766|42.3732897|5.6 mi|42.374262|-71.030395|n/a|1850|-71.118956|42.373362
Harvard transit station Boston MA|begin|start||Airport station Boston MA|transit|imperial|eastern|2017-04-12 04:36:00-05:00|Central|1.0 mi|42.3653463|-71.103606|349|431|-71.1186766|42.3732897|4.7 mi|42.374262|-71.030395|n/a|1540|-71.103802|42.365486
Harvard transit station Boston MA|begin|start||Airport station Boston MA|transit|imperial|eastern|2017-04-12 04:36:00-05:00|Park Street|5.1 mi|42.3563193|-71.0622047|861|946|-71.1191387|42.3736294|2.3 mi|42.374262|-71.030395|n/a|804|-71.0623081|42.3563808
Harvard transit station Boston MA|end|finish||Airport station Boston MA|transit|imperial|eastern|2017-04-12 04:36:00-05:00|State|3.7 mi|42.3586466|-71.057326|n/a|1101|-71.118956|42.373362|3.1 mi|42.3747715|-71.0290294|582|641|-71.0571914|42.3586696
Harvard transit station Boston MA|end|finish||Airport station Boston MA|transit|imperial|eastern|2017-04-12 04:36:00-05:00|Maverick|5.0 mi|42.3691186|-71.0395296|n/a|1783|-71.118956|42.373362|1.4 mi|42.3747715|-71.0290294|283|318|-71.0396719|42.3691933
Harvard transit station Boston MA|end|finish||Airport station Boston MA|transit|imperial|eastern|2017-04-12 04:36:00-05:00|Aquarium|4.0 mi|42.3597918|-71.0515702|n/a|1482|-71.118956|42.373362|3.1 mi|42.3747715|-71.0290294|571|669|-71.0515464|42.3596586
Harvard transit station Boston MA|end|finish||Airport station Boston MA|transit|imperial|eastern|2017-04-12 04:36:00-05:00|Airport Station|5.6 mi|42.374262|-71.030395|n/a|1903|-71.118956|42.373362|0.6 mi|42.3747715|-71.0290294|105|108|-71.0305389|42.3745164
Harvard transit station Boston MA|||tolls|Airport station Boston MA|driving|imperial|eastern|2017-04-12 04:48:00-05:00||10.7 mi|42.3747715|-71.0290294|1438|1541|-71.1191387|42.3736294|||||||
Harvard transit station Boston MA|begin|||Airport station Boston MA|transit|imperial|eastern|2017-04-12 04:48:00-05:00||5.7 mi|42.374262|-71.030395|n/a|1647|-71.118956|42.373362|||||||
Harvard transit station Boston MA|end|||Airport station Boston MA|transit|imperial|eastern|2017-04-12 04:48:00-05:00||5.7 mi|42.374262|-71.030395|n/a|1647|-71.118956|42.373362|||||||
Harvard transit station Boston MA|begin|start||Airport station Boston MA|transit|imperial|eastern|2017-04-12 04:48:00-05:00|Kendall|2.3 mi|42.3623895|-71.0862031|583|702|-71.1191387|42.3736294|3.7 mi|42.374262|-71.030395|n/a|1289|-71.0862248|42.3622401
