origin|split_on_leg|drive_leg|avoid|destination|mode|units|timezone|departure_time|split_point|distance|end_y|end_x|duration_in_traffic-sec|duration-sec|start_x|start_y|distance|end_y|end_x|duration_in_traffic-sec|duration-sec|start_x|start_y
Harvard transit station Boston MA|begin|start||Airport station Boston MA|transit|imperial|eastern|2017-04-12 07:24:00-05:00|Kendall|2.0 mi|42.3623895|-71.0862031|922|802|-71.1186766|42.3732897|3.7 mi|42.374262|-71.030395|n/a|1067|-71.0862248|42.3622401
Harvard transit station Boston MA|begin|start||Airport station Boston MA|transit|imperial|eastern|2017-04-12 07:24:00-05:00|Charles/MGH|2.9 mi|42.3611521|-71.070619|1097|852|-71.1191387|42.3736294|2.7 mi|42.374262|-71.030395|n/a|1052|-71.0705298|42.3611271
Harvard transit station Boston MA|begin|start||Airport station Boston MA|transit|imperial|eastern|2017-04-12 07:24:00-05:00|Harvard|20 ft|42.3732593|-71.1187348|2|2|-71.1186766|42.3732897|5.6 mi|42.374262|-71.030395|n/a|1702|-71.118956|42.373362
Harvard transit station Boston MA|begin|start||Airport station Boston MA|transit|imperial|eastern|2017-04-12 07:24:00-05:00|Central|1.0 mi|42.3653463|-71.103606|493|431|-71.1186766|42.3732897|4.6 mi|42.374262|-71.030395|n/a|1393|-71.103802|42.365486
Harvard transit station Boston MA|begin|start||Airport station Boston MA|transit|imperial|eastern|2017-04-12 07:24:00-05:00|Park Street|4.7 mi|42.3563193|-71.0622047|1448|1146|-71.1186766|42.3732897|2.3 mi|42.374262|-71.030395|n/a|813|-71.0623081|42.3563808
Harvard transit station Boston MA|end|finish||Airport station Boston MA|transit|imperial|eastern|2017-04-12 07:24:00-05:00|State|3.7 mi|42.3586466|-71.057326|n/a|1259|-71.118956|42.373362|3.1 mi|42.3747715|-71.0290294|757|641|-71.0571914|42.3586696
Harvard transit station Boston MA|end|finish||Airport station Boston MA|transit|imperial|eastern|2017-04-12 07:24:00-05:00|Maverick|5.0 mi|42.3691186|-71.0395296|n/a|1582|-71.118956|42.373362|1.4 mi|42.3747715|-71.0290294|349|318|-71.0396719|42.3691933
Harvard transit station Boston MA|end|finish||Airport station Boston MA|transit|imperial|eastern|2017-04-12 07:24:00-05:00|Government Center|3.6 mi|42.3597135|-71.0591799|n/a|1155|-71.118956|42.373362|3.0 mi|42.3747715|-71.0290294|608|571|-71.0597895|42.3596291
Harvard transit station Boston MA|end|finish||Airport station Boston MA|transit|imperial|eastern|2017-04-12 07:24:00-05:00|Airport Station|5.6 mi|42.374262|-71.030395|n/a|1702|-71.118956|42.373362|0.6 mi|42.3747715|-71.0290294|102|108|-71.0305389|42.3745164
Harvard transit station Boston MA|end|finish||Airport station Boston MA|transit|imperial|eastern|2017-04-12 07:24:00-05:00|Aquarium|4.0 mi|42.3597918|-71.0515702|n/a|1640|-71.118956|42.373362|3.1 mi|42.3747715|-71.0290294|589|669|-71.0515464|42.3596586
Harvard transit station Boston MA|||tolls|Airport station Boston MA|driving|imperial|eastern|2017-04-12 07:36:00-05:00||9.3 mi|42.3747715|-71.0290294|1903|1637|-71.1186766|42.3732897|||||||
Harvard transit station Boston MA|begin|||Airport station Boston MA|transit|imperial|eastern|2017-04-12 07:36:00-05:00||5.6 mi|42.374262|-71.030395|n/a|1704|-71.118956|42.373362|||||||
Harvard transit station Boston MA|end|||Airport station Boston MA|transit|imperial|eastern|2017-04-12 07:36:00-05:00||5.6 mi|42.374262|-71.030395|n/a|1704|-71.118956|42.373362|||||||
Harvard transit station Boston MA|begin|start||Airport station Boston MA|transit|imperial|eastern|2017-04-12 07:36:00-05:00|Kendall|2.3 mi|42.3623895|-71.0862031|888|702|-71.1191387|42.3736294|3.7 mi|42.374262|-71.030395|n/a|988|-71.0862248|42.3622401
Harvard transit station Boston MA|begin|start||Airport station Boston MA|transit|imperial|eastern|2017-04-12 07:36:00-05:00|Charles/MGH|2.9 mi|42.3611521|-71.070619|1067|852|-71.1191387|42.3736294|2.7 mi|42.374262|-71.030395|n/a|1056|-71.0705298|42.3611271
Harvard transit station Boston MA|begin|start||Airport station Boston MA|transit|imperial|eastern|2017-04-12 07:36:00-05:00|Harvard|20 ft|42.3732593|-71.1187348|2|2|-71.1186766|42.3732897|5.6 mi|42.374262|-71.030395|n/a|1532|-71.118956|42.373362
Harvard transit station Boston MA|begin|start||Airport station Boston MA|transit|imperial|eastern|2017-04-12 07:36:00-05:00|Central|1.0 mi|42.3653463|-71.103606|483|431|-71.1186766|42.3732897|4.6 mi|42.374262|-71.030395|n/a|1266|-71.103802|42.365486
Harvard transit station Boston MA|begin|start||Airport station Boston MA|transit|imperial|eastern|2017-04-12 07:36:00-05:00|Park Street|4.7 mi|42.3563193|-71.0622047|1472|1146|-71.1186766|42.3732897|2.3 mi|42.374262|-71.030395|n/a|799|-71.0623081|42.3563808
Harvard transit station Boston MA|end|finish||Airport station Boston MA|transit|imperial|eastern|2017-04-12 07:36:00-05:00|State|3.7 mi|42.3586466|-71.057326|n/a|1283|-71.118956|42.373362|3.1 mi|42.3747715|-71.0290294|799|641|-71.0571914|42.3586696
Harvard transit station Boston MA|end|finish||Airport station Boston MA|transit|imperial|eastern|2017-04-12 07:36:00-05:00|Maverick|4.9 mi|42.3691186|-71.0395296|n/a|1410|-71.118956|42.373362|1.4 mi|42.3747715|-71.0290294|336|318|-71.0396719|42.3691933
Harvard transit station Boston MA|end|finish||Airport station Boston MA|transit|imperial|eastern|2017-04-12 07:36:00-05:00|Government Center|3.6 mi|42.3597135|-71.0591799|n/a|1179|-71.118956|42.373362|2.9 mi|42.3747715|-71.0290294|552|531|-71.0597895|42.3596291
Harvard transit station Boston MA|end|finish||Airport station Boston MA|transit|imperial|eastern|2017-04-12 07:36:00-05:00|Airport Station|5.6 mi|42.374262|-71.030395|n/a|1530|-71.118956|42.373362|0.6 mi|42.3747715|-71.0290294|102|108|-71.0305389|42.3745164
Harvard transit station Boston MA|end|finish||Airport station Boston MA|transit|imperial|eastern|2017-04-12 07:36:00-05:00|Aquarium|4.0 mi|42.3597918|-71.0515702|n/a|1664|-71.118956|42.373362|3.1 mi|42.3747715|-71.0290294|630|669|-71.0515464|42.3596586
Harvard transit station Boston MA|||tolls|Airport station Boston MA|driving|imperial|eastern|2017-04-12 07:48:00-05:00||9.3 mi|42.3747715|-71.0290294|1888|1637|-71.1186766|42.3732897|||||||
Harvard transit station Boston MA|begin|||Airport station Boston MA|transit|imperial|eastern|2017-04-12 07:48:00-05:00||5.6 mi|42.374262|-71.030395|n/a|1519|-71.118956|42.373362|||||||
Harvard transit station Boston MA|end|||Airport station Boston MA|transit|imperial|eastern|2017-04-12 07:48:00-05:00||5.6 mi|42.374262|-71.030395|n/a|1519|-71.118956|42.373362|||||||
Harvard transit station Boston MA|begin|start||Airport station Boston MA|transit|imperial|eastern|2017-04-12 07:48:00-05:00|Kendall|2.3 mi|42.3623895|-71.0862031|976|702|-71.1191387|42.3736294|3.6 mi|42.374262|-71.030395|n/a|1148|-71.0862248|42.3622401
Harvard transit station Boston MA|begin|start||Airport station Boston MA|transit|imperial|eastern|2017-04-12 07:48:00-05:00|Charles/MGH|3.9 mi|42.3611521|-71.070619|1065|845|-71.1186766|42.3732897|2.7 mi|42.374262|-71.030395|n/a|1036|-71.0705298|42.3611271
Harvard transit station Boston MA|begin|start||Airport station Boston MA|transit|imperial|eastern|2017-04-12 07:48:00-05:00|Harvard|20 ft|42.3732593|-71.1187348|2|2|-71.1186766|42.3732897|5.6 mi|42.374262|-71.030395|n/a|1614|-71.118956|42.373362
Harvard transit station Boston MA|begin|start||Airport station Boston MA|transit|imperial|eastern|2017-04-12 07:48:00-05:00|Central|1.0 mi|42.3653463|-71.103606|562|431|-71.1186766|42.3732897|4.6 mi|42.374262|-71.030395|n/a|1257|-71.103802|42.365486
Harvard transit station Boston MA|begin|start||Airport station Boston MA|transit|imperial|eastern|2017-04-12 07:48:00-05:00|Park Street|4.8 mi|42.3563193|-71.0622047|1617|1226|-71.1186766|42.3732897|2.3 mi|42.374262|-71.030395|n/a|792|-71.0623081|42.3563808
Harvard transit station Boston MA|end|finish||Airport station Boston MA|transit|imperial|eastern|2017-04-12 07:48:00-05:00|State|3.7 mi|42.3586466|-71.057326|n/a|1252|-71.118956|42.373362|3.1 mi|42.3747715|-71.0290294|690|641|-71.0571914|42.3586696
Harvard transit station Boston MA|end|finish||Airport station Boston MA|transit|imperial|eastern|2017-04-12 07:48:00-05:00|Maverick|5.0 mi|42.3691186|-71.0395296|n/a|1494|-71.118956|42.373362|1.4 mi|42.3747715|-71.0290294|317|318|-71.0396719|42.3691933
Harvard transit station Boston MA|end|finish||Airport station Boston MA|transit|imperial|eastern|2017-04-12 07:48:00-05:00|Government Center|3.6 mi|42.3597135|-71.0591799|n/a|1148|-71.118956|42.373362|2.9 mi|42.3747715|-71.0290294|580|531|-71.0597895|42.3596291
Harvard transit station Boston MA|end|finish||Airport station Boston MA|transit|imperial|eastern|2017-04-12 07:48:00-05:00|Airport Station|5.6 mi|42.374262|-71.030395|n/a|1614|-71.118956|42.373362|0.6 mi|42.3747715|-71.0290294|102|108|-71.0305389|42.3745164
Harvard transit station Boston MA|end|finish||Airport station Boston MA|transit|imperial|eastern|2017-04-12 07:48:00-05:00|Aquarium|4.0 mi|42.3597918|-71.0515702|n/a|1633|-71.118956|42.373362|3.1 mi|42.3747715|-71.0290294|637|669|-71.0515464|42.3596586
Harvard transit station Boston MA|||tolls|Airport station Boston MA|driving|imperial|eastern|2017-04-12 08:00:00-05:00||10.7 mi|42.3747715|-71.0290294|1822|1541|-71.1191387|42.3736294|||||||
Harvard transit station Boston MA|begin|||Airport station Boston MA|transit|imperial|eastern|2017-04-12 08:00:00-05:00||5.4 mi|42.374262|-71.030395|n/a|1681|-71.118956|42.373362|||||||
Harvard transit station Boston MA|end|||Airport station Boston MA|transit|imperial|eastern|2017-04-12 08:00:00-05:00||5.4 mi|42.374262|-71.030395|n/a|1727|-71.118956|42.373362|||||||
Harvard transit station Boston MA|begin|start||Airport station Boston MA|transit|imperial|eastern|2017-04-12 08:00:00-05:00|Kendall|2.3 mi|42.3623895|-71.0862031|908|702|-71.1191387|42.3736294|3.7 mi|42.374262|-71.030395|n/a|1227|-71.0862248|42.3622401
Harvard transit station Boston MA|begin|start||Airport station Boston MA|transit|imperial|eastern|2017-04-12 08:00:00-05:00|Charles/MGH|2.9 mi|42.3611521|-71.070619|1089|852|-71.1191387|42.3736294|2.7 mi|42.374262|-71.030395|n/a|1037|-71.0705298|42.3611271
Harvard transit station Boston MA|begin|start||Airport station Boston MA|transit|imperial|eastern|2017-04-12 08:00:00-05:00|Harvard|20 ft|42.3732593|-71.1187348|1|2|-71.1186766|42.3732897|5.6 mi|42.374262|-71.030395|n/a|1726|-71.118956|42.373362
Harvard transit station Boston MA|begin|start||Airport station Boston MA|transit|imperial|eastern|2017-04-12 08:00:00-05:00|Central|1.0 mi|42.3653463|-71.103606|543|431|-71.1186766|42.3732897|4.6 mi|42.374262|-71.030395|n/a|1428|-71.103802|42.365486
Harvard transit station Boston MA|begin|start||Airport station Boston MA|transit|imperial|eastern|2017-04-12 08:00:00-05:00|Park Street|5.2 mi|42.3563193|-71.0622047|1272|990|-71.1191387|42.3736294|2.3 mi|42.374262|-71.030395|n/a|794|-71.0623081|42.3563808
Harvard transit station Boston MA|end|finish||Airport station Boston MA|transit|imperial|eastern|2017-04-12 08:00:00-05:00|State|3.7 mi|42.3586466|-71.057326|n/a|1233|-71.118956|42.373362|3.1 mi|42.3747715|-71.0290294|851|641|-71.0571914|42.3586696
Harvard transit station Boston MA|end|finish||Airport station Boston MA|transit|imperial|eastern|2017-04-12 08:00:00-05:00|Maverick|5.0 mi|42.3691186|-71.0395296|n/a|1606|-71.118956|42.373362|1.4 mi|42.3747715|-71.0290294|314|318|-71.0396719|42.3691933
Harvard transit station Boston MA|end|finish||Airport station Boston MA|transit|imperial|eastern|2017-04-12 08:00:00-05:00|Aquarium|4.0 mi|42.3597918|-71.0515702|n/a|1614|-71.118956|42.373362|3.1 mi|42.3747715|-71.0290294|661|669|-71.0515464|42.3596586
Harvard transit station Boston MA|end|finish||Airport station Boston MA|transit|imperial|eastern|2017-04-12 08:00:00-05:00|Airport Station|5.6 mi|42.374262|-71.030395|n/a|1726|-71.118956|42.373362|0.6 mi|42.3747715|-71.0290294|103|108|-71.0305389|42.3745164
Harvard transit station Boston MA|||tolls|Airport station Boston MA|driving|imperial|eastern|2017-04-12 08:12:00-05:00||8.9 mi|42.3747715|-71.0290294|1877|1649|-71.1191387|42.3736294|||||||
Harvard transit station Boston MA|begin|||Airport station Boston MA|transit|imperial|eastern|2017-04-12 08:12:00-05:00||5.6 mi|42.374262|-71.030395|n/a|1830|-71.118956|42.373362|||||||
Harvard transit station Boston MA|end|||Airport station Boston MA|transit|imperial|eastern|2017-04-12 08:12:00-05:00||5.6 mi|42.374262|-71.030395|n/a|1830|-71.118956|42.373362|||||||
Harvard transit station Boston MA|begin|start||Airport station Boston MA|transit|imperial|eastern|2017-04-12 08:12:00-05:00|Kendall|2.3 mi|42.3623895|-71.0862031|882|702|-71.1191387|42.3736294|3.7 mi|42.374262|-71.030395|n/a|1067|-71.0862248|42.3622401
Harvard transit station Boston MA|begin|start||Airport station Boston MA|transit|imperial|eastern|2017-04-12 08:12:00-05:00|Charles/MGH|2.9 mi|42.3611521|-71.070619|1011|852|-71.1191387|42.3736294|2.7 mi|42.374262|-71.030395|n/a|1047|-71.0705298|42.3611271
Harvard transit station Boston MA|begin|start||Airport station Boston MA|transit|imperial|eastern|2017-04-12 08:12:00-05:00|Harvard|20 ft|42.3732593|-71.1187348|2|2|-71.1186766|42.3732897|5.6 mi|42.374262|-71.030395|n/a|1724|-71.118956|42.373362
Harvard transit station Boston MA|begin|start||Airport station Boston MA|transit|imperial|eastern|2017-04-12 08:12:00-05:00|Central|1.0 mi|42.3653463|-71.103606|505|431|-71.1186766|42.3732897|4.6 mi|42.374262|-71.030395|n/a|1553|-71.103802|42.365486
Harvard transit station Boston MA|begin|start||Airport station Boston MA|transit|imperial|eastern|2017-04-12 08:12:00-05:00|Park Street|5.2 mi|42.3563193|-71.0622047|1440|990|-71.1191387|42.3736294|2.3 mi|42.374262|-71.030395|n/a|812|-71.0623081|42.3563808
Harvard transit station Boston MA|end|finish||Airport station Boston MA|transit|imperial|eastern|2017-04-12 08:12:00-05:00|State|3.7 mi|42.3586466|-71.057326|n/a|1229|-71.118956|42.373362|3.1 mi|42.3747715|-71.0290294|724|641|-71.0571914|42.3586696
Harvard transit station Boston MA|end|finish||Airport station Boston MA|transit|imperial|eastern|2017-04-12 08:12:00-05:00|Maverick|5.0 mi|42.3691186|-71.0395296|n/a|1604|-71.118956|42.373362|1.4 mi|42.3747715|-71.0290294|320|318|-71.0396719|42.3691933
Harvard transit station Boston MA|end|finish||Airport station Boston MA|transit|imperial|eastern|2017-04-12 08:12:00-05:00|Government Center|3.6 mi|42.3597135|-71.0591799|n/a|1125|-71.118956|42.373362|2.9 mi|42.3747715|-71.0290294|555|531|-71.0597895|42.3596291
Harvard transit station Boston MA|end|finish||Airport station Boston MA|transit|imperial|eastern|2017-04-12 08:12:00-05:00|Airport Station|5.6 mi|42.374262|-71.030395|n/a|1724|-71.118956|42.373362|0.6 mi|42.3747715|-71.0290294|104|108|-71.0305389|42.3745164
Harvard transit station Boston MA|end|finish||Airport station Boston MA|transit|imperial|eastern|2017-04-12 08:12:00-05:00|Aquarium|4.0 mi|42.3597918|-71.0515702|n/a|1610|-71.118956|42.373362|3.1 mi|42.3747715|-71.0290294|633|669|-71.0515464|42.3596586
Harvard transit station Boston MA|||tolls|Airport station Boston MA|driving|imperial|eastern|2017-04-12 08:24:00-05:00||9.4 mi|42.3747715|-71.0290294|1739|1582|-71.1191387|42.3736294|||||||
Harvard transit station Boston MA|begin|||Airport station Boston MA|transit|imperial|eastern|2017-04-12 08:24:00-05:00||5.6 mi|42.374262|-71.030395|n/a|1715|-71.118956|42.373362|||||||
Harvard transit station Boston MA|end|||Airport station Boston MA|transit|imperial|eastern|2017-04-12 08:24:00-05:00||5.6 mi|42.374262|-71.030395|n/a|1715|-71.118956|42.373362|||||||
Harvard transit station Boston MA|begin|start||Airport station Boston MA|transit|imperial|eastern|2017-04-12 08:24:00-05:00|Kendall|2.3 mi|42.3623895|-71.0862031|836|702|-71.1191387|42.3736294|3.7 mi|42.374262|-71.030395|n/a|1408|-71.0862248|42.3622401
Harvard transit station Boston MA|begin|start||Airport station Boston MA|transit|imperial|eastern|2017-04-12 08:24:00-05:00|Charles/MGH|2.9 mi|42.3611521|-71.070619|970|852|-71.1191387|42.3736294|2.7 mi|42.374262|-71.030395|n/a|1051|-71.0705298|42.3611271
Harvard transit station Boston MA|begin|start||Airport station Boston MA|transit|imperial|eastern|2017-04-12 08:24:00-05:00|Harvard|20 ft|42.3732593|-71.1187348|1|2|-71.1186766|42.3732897|5.6 mi|42.374262|-71.030395|n/a|1610|-71.118956|42.373362
Harvard transit station Boston MA|begin|start||Airport station Boston MA|transit|imperial|eastern|2017-04-12 08:24:00-05:00|Central|1.0 mi|42.3653463|-71.103606|489|431|-71.1186766|42.3732897|4.7 mi|42.374262|-71.030395|n/a|1110|-71.103802|42.365486
Harvard transit station Boston MA|begin|start||Airport station Boston MA|transit|imperial|eastern|2017-04-12 08:24:00-05:00|Park Street|5.2 mi|42.3563193|-71.0622047|1410|990|-71.1191387|42.3736294|2.3 mi|42.374262|-71.030395|n/a|810|-71.0623081|42.3563808
Harvard transit station Boston MA|end|finish||Airport station Boston MA|transit|imperial|eastern|2017-04-12 08:24:00-05:00|State|3.7 mi|42.3586466|-71.057326|n/a|1170|-71.118956|42.373362|3.1 mi|42.3747715|-71.0290294|851|641|-71.0571914|42.3586696
Harvard transit station Boston MA|end|finish||Airport station Boston MA|transit|imperial|eastern|2017-04-12 08:24:00-05:00|Maverick|5.0 mi|42.3691186|-71.0395296|n/a|1490|-71.118956|42.373362|1.4 mi|42.3747715|-71.0290294|324|318|-71.0396719|42.3691933
Harvard transit station Boston MA|end|finish||Airport station Boston MA|transit|imperial|eastern|2017-04-12 08:24:00-05:00|Government Center|3.6 mi|42.3597135|-71.0591799|n/a|1066|-71.118956|42.373362|2.9 mi|42.3747715|-71.0290294|555|531|-71.0597895|42.3596291
Harvard transit station Boston MA|end|finish||Airport station Boston MA|transit|imperial|eastern|2017-04-12 08:24:00-05:00|Airport Station|5.6 mi|42.374262|-71.030395|n/a|1610|-71.118956|42.373362|0.6 mi|42.3747715|-71.0290294|103|108|-71.0305389|42.3745164
Harvard transit station Boston MA|end|finish||Airport station Boston MA|transit|imperial|eastern|2017-04-12 08:24:00-05:00|Aquarium|4.0 mi|42.3597918|-71.0515702|n/a|1551|-71.118956|42.373362|3.1 mi|42.3747715|-71.0290294|646|669|-71.0515464|42.3596586
Harvard transit station Boston MA|||tolls|Airport station Boston MA|driving|imperial|eastern|2017-04-12 08:36:00-05:00||8.9 mi|42.3747715|-71.0290294|1643|1649|-71.1191387|42.3736294|||||||
Harvard transit station Boston MA|begin|||Airport station Boston MA|transit|imperial|eastern|2017-04-12 08:36:00-05:00||5.6 mi|42.374262|-71.030395|n/a|1709|-71.118956|42.373362|||||||
Harvard transit station Boston MA|end|||Airport station Boston MA|transit|imperial|eastern|2017-04-12 08:36:00-05:00||5.6 mi|42.374262|-71.030395|n/a|1709|-71.118956|42.373362|||||||
Harvard transit station Boston MA|begin|start||Airport station Boston MA|transit|imperial|eastern|2017-04-12 08:36:00-05:00|Kendall|2.3 mi|42.3623895|-71.0862031|781|702|-71.1191387|42.3736294|3.6 mi|42.374262|-71.030395|n/a|989|-71.0862248|42.3622401
Harvard transit station Boston MA|begin|start||Airport station Boston MA|transit|imperial|eastern|2017-04-12 08:36:00-05:00|Charles/MGH|2.9 mi|42.3611521|-71.070619|911|852|-71.1191387|42.3736294|2.7 mi|42.374262|-71.030395|n/a|1047|-71.0705298|42.3611271
Harvard transit station Boston MA|begin|start||Airport station Boston MA|transit|imperial|eastern|2017-04-12 08:36:00-05:00|Harvard|20 ft|42.3732593|-71.1187348|2|2|-71.1186766|42.3732897|5.6 mi|42.374262|-71.030395|n/a|1787|-71.118956|42.373362
Harvard transit station Boston MA|begin|start||Airport station Boston MA|transit|imperial|eastern|2017-04-12 08:36:00-05:00|Central|1.0 mi|42.3653463|-71.103606|479|431|-71.1186766|42.3732897|4.6 mi|42.374262|-71.030395|n/a|1055|-71.103802|42.365486
Harvard transit station Boston MA|begin|start||Airport station Boston MA|transit|imperial|eastern|2017-04-12 08:36:00-05:00|Park Street|5.2 mi|42.3563193|-71.0622047|1225|990|-71.1191387|42.3736294|2.3 mi|42.374262|-71.030395|n/a|806|-71.0623081|42.3563808
Harvard transit station Boston MA|end|finish||Airport station Boston MA|transit|imperial|eastern|2017-04-12 08:36:00-05:00|State|3.7 mi|42.3586466|-71.057326|n/a|1176|-71.118956|42.373362|3.1 mi|42.3747715|-71.0290294|872|641|-71.0571914|42.3586696
Harvard transit station Boston MA|end|finish||Airport station Boston MA|transit|imperial|eastern|2017-04-12 08:36:00-05:00|Maverick|4.9 mi|42.3691186|-71.0395296|n/a|1667|-71.118956|42.373362|1.4 mi|42.3747715|-71.0290294|325|318|-71.0396719|42.3691933
Harvard transit station Boston MA|end|finish||Airport station Boston MA|transit|imperial|eastern|2017-04-12 08:36:00-05:00|Government Center|3.6 mi|42.3597135|-71.0591799|n/a|1072|-71.118956|42.373362|2.9 mi|42.3747715|-71.0290294|520|531|-71.0597895|42.3596291
Harvard transit station Boston MA|end|finish||Airport station Boston MA|transit|imperial|eastern|2017-04-12 08:36:00-05:00|Airport Station|5.6 mi|42.374262|-71.030395|n/a|1787|-71.118956|42.373362|0.6 mi|42.3747715|-71.0290294|103|108|-71.0305389|42.3745164
Harvard transit station Boston MA|end|finish||Airport station Boston MA|transit|imperial|eastern|2017-04-12 08:36:00-05:00|Aquarium|4.0 mi|42.3597918|-71.0515702|n/a|1557|-71.118956|42.373362|3.1 mi|42.3747715|-71.0290294|631|669|-71.0515464|42.3596586
Harvard transit station Boston MA|||tolls|Airport station Boston MA|driving|imperial|eastern|2017-04-12 08:48:00-05:00||10.7 mi|42.3747715|-71.0290294|1644|1541|-71.1191387|42.3736294|||||||
Harvard transit station Boston MA|begin|||Airport station Boston MA|transit|imperial|eastern|2017-04-12 08:48:00-05:00||5.4 mi|42.374262|-71.030395|n/a|1350|-71.118956|42.373362|||||||
Harvard transit station Boston MA|end|||Airport station Boston MA|transit|imperial|eastern|2017-04-12 08:48:00-05:00||5.4 mi|42.374262|-71.030395|n/a|1350|-71.118956|42.373362|||||||
Harvard transit station Boston MA|begin|start||Airport station Boston MA|transit|imperial|eastern|2017-04-12 08:48:00-05:00|Kendall|2.3 mi|42.3623895|-71.0862031|853|702|-71.1191387|42.3736294|3.7 mi|42.374262|-71.030395|n/a|898|-71.0862248|42.3622401
Harvard transit station Boston MA|begin|start||Airport station Boston MA|transit|imperial|eastern|2017-04-12 08:48:00-05:00|Charles/MGH|2.9 mi|42.3611521|-71.070619|979|852|-71.1191387|42.3736294|2.7 mi|42.374262|-71.030395|n/a|1048|-71.0705298|42.3611271
Harvard transit station Boston MA|begin|start||Airport station Boston MA|transit|imperial|eastern|2017-04-12 08:48:00-05:00|Harvard|20 ft|42.3732593|-71.1187348|1|2|-71.1186766|42.3732897|5.4 mi|42.374262|-71.030395|n/a|1357|-71.118956|42.373362
Harvard transit station Boston MA|begin|start||Airport station Boston MA|transit|imperial|eastern|2017-04-12 08:48:00-05:00|Central|1.0 mi|42.3653463|-71.103606|479|431|-71.1186766|42.3732897|4.6 mi|42.374262|-71.030395|n/a|1313|-71.103802|42.365486
Harvard transit station Boston MA|begin|start||Airport station Boston MA|transit|imperial|eastern|2017-04-12 08:48:00-05:00|Park Street|5.2 mi|42.3563193|-71.0622047|1189|990|-71.1191387|42.3736294|2.3 mi|42.374262|-71.030395|n/a|806|-71.0623081|42.3563808
Harvard transit station Boston MA|end|finish||Airport station Boston MA|transit|imperial|eastern|2017-04-12 08:48:00-05:00|State|3.7 mi|42.3586466|-71.057326|n/a|1165|-71.118956|42.373362|3.1 mi|42.3747715|-71.0290294|723|641|-71.0571914|42.3586696
Harvard transit station Boston MA|end|finish||Airport station Boston MA|transit|imperial|eastern|2017-04-12 08:48:00-05:00|Maverick|4.8 mi|42.3691186|-71.0395296|n/a|1237|-71.118956|42.373362|1.4 mi|42.3747715|-71.0290294|320|318|-71.0396719|42.3691933
Harvard transit station Boston MA|end|finish||Airport station Boston MA|transit|imperial|eastern|2017-04-12 08:48:00-05:00|Aquarium|4.0 mi|42.3597918|-71.0515702|n/a|1546|-71.118956|42.373362|3.1 mi|42.3747715|-71.0290294|689|669|-71.0515464|42.3596586
Harvard transit station Boston MA|end|finish||Airport station Boston MA|transit|imperial|eastern|2017-04-12 08:48:00-05:00|Airport Station|5.4 mi|42.374262|-71.030395|n/a|1357|-71.118956|42.373362|0.6 mi|42.3747715|-71.0290294|103|108|-71.0305389|42.3745164
Harvard transit station Boston MA|||tolls|Airport station Boston MA|driving|imperial|eastern|2017-04-12 09:00:00-05:00||10.7 mi|42.3747715|-71.0290294|1687|1541|-71.1191387|42.3736294|||||||
Harvard transit station Boston MA|begin|||Airport station Boston MA|transit|imperial|eastern|2017-04-12 09:00:00-05:00||5.6 mi|42.374262|-71.030395|n/a|1520|-71.118956|42.373362|||||||
Harvard transit station Boston MA|end|||Airport station Boston MA|transit|imperial|eastern|2017-04-12 09:00:00-05:00||5.6 mi|42.374262|-71.030395|n/a|1520|-71.118956|42.373362|||||||
Harvard transit station Boston MA|begin|start||Airport station Boston MA|transit|imperial|eastern|2017-04-12 09:00:00-05:00|Kendall|2.3 mi|42.3623895|-71.0862031|740|702|-71.1191387|42.3736294|3.7 mi|42.374262|-71.030395|n/a|1010|-71.0862248|42.3622401
Harvard transit station Boston MA|begin|start||Airport station Boston MA|transit|imperial|eastern|2017-04-12 09:00:00-05:00|Charles/MGH|2.9 mi|42.3611521|-71.070619|870|852|-71.1191387|42.3736294|2.7 mi|42.374262|-71.030395|n/a|1048|-71.0705298|42.3611271
Harvard transit station Boston MA|begin|start||Airport station Boston MA|transit|imperial|eastern|2017-04-12 09:00:00-05:00|Harvard|20 ft|42.3732593|-71.1187348|3|2|-71.1186766|42.3732897|5.6 mi|42.374262|-71.030395|n/a|1660|-71.118956|42.373362
Harvard transit station Boston MA|begin|start||Airport station Boston MA|transit|imperial|eastern|2017-04-12 09:00:00-05:00|Central|1.0 mi|42.3653463|-71.103606|513|431|-71.1186766|42.3732897|4.6 mi|42.374262|-71.030395|n/a|1185|-71.103802|42.365486
Harvard transit station Boston MA|begin|start||Airport station Boston MA|transit|imperial|eastern|2017-04-12 09:00:00-05:00|Park Street|5.1 mi|42.3563193|-71.0622047|1190|946|-71.1191387|42.3736294|2.3 mi|42.374262|-71.030395|n/a|801|-71.0623081|42.3563808
Harvard transit station Boston MA|end|finish||Airport station Boston MA|transit|imperial|eastern|2017-04-12 09:00:00-05:00|State|3.7 mi|42.3586466|-71.057326|n/a|1168|-71.118956|42.373362|3.1 mi|42.3747715|-71.0290294|650|641|-71.0571914|42.3586696
Harvard transit station Boston MA|end|finish||Airport station Boston MA|transit|imperial|eastern|2017-04-12 09:00:00-05:00|Maverick|4.9 mi|42.3691186|-71.0395296|n/a|1540|-71.118956|42.373362|1.4 mi|42.3747715|-71.0290294|338|318|-71.0396719|42.3691933
