origin,origin_min,origin_max,origin_divs,origin_arrange,destination,mode,avoid,timezone,departure_time,departure_time_min,departure_time_max,departure_time_delta,units
,41.880345;-87.769499,41.850149;-87.727384,4;4,grid,John Hancock Center Chicago IL,driving,tolls,central,,04/14/2017 05:00,04/14/2017 22:00,12,imperial
,41.880345;-87.769499,41.850149;-87.727384,4;4,grid,John Hancock Center Chicago IL,transit,,central,,04/14/2017 05:00,04/14/2017 22:00,12,imperial
