origin|split_on_leg|avoid|destination|mode|units|timezone|departure_time|split_point|distance|end_y|end_x|duration_in_traffic-sec|duration-sec|start_x|start_y|distance|end_y|end_x|duration_in_traffic-sec|duration-sec|start_x|start_y
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-06 04:40:00-05:00|Grand Central - 42 St Station|2.3 mi|40.7522756|-73.9774709|711|931|-73.9932975|40.7295629|10.6 mi|40.7718584|-73.87163199999999|n/a|2114|-73.97761360000001|40.7523191
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-06 04:40:00-05:00|23 St|1.7 mi|40.74003099999999|-73.98640879999999|478|708|-73.99977539999999|40.7271183|9.8 mi|40.7718584|-73.87163199999999|n/a|3230|-73.98640879999999|40.74003099999999
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-06 04:40:00-05:00|Astor Place Station|0.4 mi|40.7301688|-73.99099249999999|146|169|-73.9932975|40.7295629|10.5 mi|40.7718584|-73.87163199999999|n/a|3300|-73.99098959999999|40.7301722
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-06 04:40:00-05:00|28 St|1.6 mi|40.7432513|-73.98390549999999|553|772|-73.9932975|40.7295629|9.8 mi|40.7718584|-73.87163199999999|n/a|2917|-73.98386289999999|40.7433087
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-06 04:40:00-05:00|33 St|2.1 mi|40.7466223|-73.9818023|634|899|-73.9932975|40.7295629|9.5 mi|40.7718584|-73.87163199999999|n/a|2797|-73.9818873|40.7466576
New York University|end||LaGuardia Airport|transit|imperial|eastern|2017-04-06 04:40:00-05:00|Grand Central Terminal|2.1 mi|40.7505727|-73.97600709999999|n/a|1003|-73.99437209999999|40.7284833|8.3 mi|40.7715416|-73.8717269|885|885|-73.9760036|40.7505712
New York University|end||LaGuardia Airport|transit|imperial|eastern|2017-04-06 04:40:00-05:00|LaGuardia Airport|11.3 mi|40.774059|-73.87185699999999|n/a|2499|-73.99433259999999|40.7285304|0.2 mi|40.7734912|-73.87585849999999|83|96|-73.8720814|40.7740263
New York University||tolls|LaGuardia Airport|driving|imperial|eastern|2017-04-06 04:50:00-05:00||9.9 mi|40.7715416|-73.8717269|1220|1464|-73.99977539999999|40.7271183
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-06 04:50:00-05:00||11.7 mi|40.7718584|-73.87163199999999|n/a|3016|-73.99433259999999|40.7285304
New York University|end||LaGuardia Airport|transit|imperial|eastern|2017-04-06 04:50:00-05:00||11.7 mi|40.7718584|-73.87163199999999|n/a|3016|-73.99433259999999|40.7285304
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-06 04:50:00-05:00|Grand Central - 42 St Station|2.3 mi|40.7522756|-73.9774709|754|931|-73.9932975|40.7295629|10.9 mi|40.7718584|-73.87163199999999|n/a|3217|-73.9772294|40.7527262
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-06 04:50:00-05:00|23 St|1.1 mi|40.74003099999999|-73.98640879999999|516|529|-73.9932975|40.7295629|10.7 mi|40.7718584|-73.87163199999999|n/a|3790|-73.98640879999999|40.74003099999999
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-06 04:50:00-05:00|Astor Place Station|0.4 mi|40.7301688|-73.99099249999999|156|169|-73.9932975|40.7295629|10.8 mi|40.7718584|-73.87163199999999|n/a|3157|-73.99107|40.730054
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-06 04:50:00-05:00|28 St|1.6 mi|40.7432513|-73.98390549999999|598|772|-73.9932975|40.7295629|11.5 mi|40.7718584|-73.87163199999999|n/a|3457|-73.98386289999999|40.7433087
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-06 04:50:00-05:00|33 St|2.1 mi|40.7466223|-73.9818023|676|899|-73.9932975|40.7295629|11.3 mi|40.7718584|-73.87163199999999|n/a|3397|-73.9818873|40.7466576
New York University|end||LaGuardia Airport|transit|imperial|eastern|2017-04-06 04:50:00-05:00|Grand Central Terminal|2.1 mi|40.7505727|-73.97600709999999|n/a|935|-73.99437209999999|40.7284833|8.3 mi|40.7715416|-73.8717269|899|885|-73.9760036|40.7505712
New York University|end||LaGuardia Airport|transit|imperial|eastern|2017-04-06 04:50:00-05:00|LaGuardia Airport|11.3 mi|40.774059|-73.87185699999999|n/a|2679|-73.99433259999999|40.7285304|0.2 mi|40.7734912|-73.87585849999999|85|96|-73.8720814|40.7740263
New York University||tolls|LaGuardia Airport|driving|imperial|eastern|2017-04-06 05:00:00-05:00||9.9 mi|40.7715416|-73.8717269|1280|1464|-73.99977539999999|40.7271183
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-06 05:00:00-05:00||11.5 mi|40.7718584|-73.87163199999999|n/a|3576|-73.99433259999999|40.7285304
New York University|end||LaGuardia Airport|transit|imperial|eastern|2017-04-06 05:00:00-05:00||11.5 mi|40.7718584|-73.87163199999999|n/a|3576|-73.99433259999999|40.7285304
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-06 05:00:00-05:00|Grand Central - 42 St Station|2.3 mi|40.7522756|-73.9774709|734|931|-73.9932975|40.7295629|10.9 mi|40.7718584|-73.87163199999999|n/a|2917|-73.9772294|40.7527262
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-06 05:00:00-05:00|23 St|1.1 mi|40.74003099999999|-73.98640879999999|436|529|-73.9932975|40.7295629|10.8 mi|40.7718584|-73.87163199999999|n/a|3240|-73.98640879999999|40.74003099999999
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-06 05:00:00-05:00|Astor Place Station|0.4 mi|40.7301688|-73.99099249999999|153|169|-73.9932975|40.7295629|12.6 mi|40.7718584|-73.87163199999999|n/a|3757|-73.99107|40.730054
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-06 05:00:00-05:00|28 St|1.4 mi|40.7432513|-73.98390549999999|572|675|-73.9932975|40.7295629|11.5 mi|40.7718584|-73.87163199999999|n/a|3337|-73.98386289999999|40.7433087
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-06 05:00:00-05:00|33 St|2.1 mi|40.7466223|-73.9818023|661|899|-73.9932975|40.7295629|11.3 mi|40.7718584|-73.87163199999999|n/a|3277|-73.9818873|40.7466576
New York University|end||LaGuardia Airport|transit|imperial|eastern|2017-04-06 05:00:00-05:00|Grand Central Terminal|2.1 mi|40.7505727|-73.97600709999999|n/a|1003|-73.99437209999999|40.7284833|8.3 mi|40.7715416|-73.8717269|950|885|-73.9760036|40.7505712
New York University|end||LaGuardia Airport|transit|imperial|eastern|2017-04-06 05:00:00-05:00|LaGuardia Airport|11.6 mi|40.774059|-73.87185699999999|n/a|2559|-73.99433259999999|40.7285304|0.2 mi|40.7734912|-73.87585849999999|87|96|-73.8720814|40.7740263
New York University||tolls|LaGuardia Airport|driving|imperial|eastern|2017-04-06 05:10:00-05:00||9.9 mi|40.7715416|-73.8717269|1313|1464|-73.99977539999999|40.7271183
