origin|split_on_leg|driver_leg|avoid|destination|mode|units|timezone|departure_time|split_point|end_y|end_x|duration_in_traffic-sec|distance_m|duration-sec|start_x|start_y|end_y|end_x|duration_in_traffic-sec|distance_m|duration-sec|start_x|start_y
New York University||finish|tolls|LaGuardia Airport|driving|imperial|eastern|2017-04-13 05:45:00-05:00|40.7520038/-73.9287806|40.7520038|-73.9287806|1221|8468|1738|-73.9932975|40.7295629|40.774059|-73.871857|n/a|9077|1500|-73.928781|40.752039
New York University||finish|tolls|LaGuardia Airport|driving|imperial|eastern|2017-04-13 05:45:00-05:00|40.7465008/-73.8910021|40.7465008|-73.8910021|1130|12147|1453|-73.9997754|40.7271183|40.774059|-73.871857|n/a|5103|480|-73.890689|40.746515
New York University||finish|tolls|LaGuardia Airport|driving|imperial|eastern|2017-04-13 05:45:00-05:00|40.7530768/-73.9069949|40.7530768|-73.9069949|1231|12838|1566|-73.9997754|40.7271183|40.774059|-73.871857|n/a|6730|1260|-73.9071013|40.7531039
New York University||finish|tolls|LaGuardia Airport|driving|imperial|eastern|2017-04-13 05:45:00-05:00|40.7647873/-73.9664645|40.7647873|-73.9664645|981|5285|1391|-73.9932975|40.7295629|40.774059|-73.871857|n/a|12197|1440|-73.966113|40.764629
New York University||finish|tolls|LaGuardia Airport|driving|imperial|eastern|2017-04-13 05:45:00-05:00|40.754101/-73.9423347|40.754101|-73.9423347|1125|7212|1361|-73.9932975|40.7295629|40.774059|-73.871857|n/a|9907|1200|-73.9424742|40.7541777
New York University||finish|tolls|LaGuardia Airport|driving|imperial|eastern|2017-04-13 06:00:00-05:00|40.746543/-73.890732|40.746543|-73.890732|n/a|13219|1722|-73.9943326|40.7285304|40.7714389|-73.8718939|395|4624|414|-73.890765|40.7464059
New York University||finish|tolls|LaGuardia Airport|driving|imperial|eastern|2017-04-13 06:00:00-05:00|40.774059/-73.871857|40.774059|-73.871857|n/a|18252|2439|-73.9943326|40.7285304|40.7734911|-73.8758586|97|334|96|-73.8720814|40.7740263
New York University|||tolls|LaGuardia Airport|driving|imperial|eastern|2017-04-13 06:15:00-05:00||40.7714389|-73.8718939|1196|15864|1475|-73.9997754|40.7271183|||||||
New York University|||tolls|LaGuardia Airport|driving|imperial|eastern|2017-04-13 06:30:00-05:00||40.774059|-73.871857|n/a|18252|2499|-73.9943326|40.7285304|||||||
New York University|||tolls|LaGuardia Airport|driving|imperial|eastern|2017-04-13 06:45:00-05:00||40.774059|-73.871857|n/a|18252|2499|-73.9943326|40.7285304|||||||
New York University||finish|tolls|LaGuardia Airport|driving|imperial|eastern|2017-04-13 06:30:00-05:00|40.73101/-74.0013002|40.73101|-74.0013002|111|254|130|-74.0001873|40.7313277|40.774059|-73.871857|n/a|17606|2220|-74.0012201|40.7311041
New York University||finish|tolls|LaGuardia Airport|driving|imperial|eastern|2017-04-13 06:30:00-05:00|40.7578741/-73.9819016|40.7578741|-73.9819016|670|4036|1035|-73.9997754|40.7271183|40.774059|-73.871857|n/a|14210|1740|-73.9817907|40.7578276
New York University||finish|tolls|LaGuardia Airport|driving|imperial|eastern|2017-04-13 06:30:00-05:00|40.7520038/-73.9287806|40.7520038|-73.9287806|1339|7927|1572|-73.9932975|40.7295629|40.774059|-73.871857|n/a|9077|1740|-73.928781|40.752039
New York University||finish|tolls|LaGuardia Airport|driving|imperial|eastern|2017-04-13 06:30:00-05:00|40.7465008/-73.8910021|40.7465008|-73.8910021|1177|12147|1453|-73.9997754|40.7271183|40.774059|-73.871857|n/a|5103|480|-73.890689|40.746515
New York University||finish|tolls|LaGuardia Airport|driving|imperial|eastern|2017-04-13 06:30:00-05:00|40.7530768/-73.9069949|40.7530768|-73.9069949|1268|12838|1566|-73.9997754|40.7271183|40.774059|-73.871857|n/a|6730|1200|-73.9071013|40.7531039
