origin|split_on_leg|driver_leg|avoid|destination|mode|units|timezone|departure_time|split_point|end_y|end_x|duration_in_traffic-sec|distance_m|duration-sec|start_x|start_y|end_y|end_x|duration_in_traffic-sec|distance_m|duration-sec|start_x|start_y
Washington Park Chicago IL||finish|tolls|Ohare Airport|driving|imperial|central|2017-04-12 05:24:00-05:00|41.8857522/-87.6315547|41.8857522|-87.6315547|n/a|11394|1602|-87.6175903|41.7929603|41.9797233|-87.8822525|1150|26064|1314|-87.6315556|41.8857335
Washington Park Chicago IL||finish|tolls|Ohare Airport|driving|imperial|central|2017-04-12 05:24:00-05:00|41.983505/-87.85939|41.983505|-87.85939|n/a|34808|3945|-87.6175903|41.7929603|41.9797233|-87.8822525|89|2012|93|-87.8594793|41.9837411
Washington Park Chicago IL||finish|tolls|Ohare Airport|driving|imperial|central|2017-04-12 05:24:00-05:00|41.94738/-87.719063|41.94738|-87.719063|n/a|21893|2955|-87.6175903|41.7929603|41.9797233|-87.8822525|950|23030|1017|-87.7191813|41.9472665
Washington Park Chicago IL||finish|tolls|Ohare Airport|driving|imperial|central|2017-04-12 05:24:00-05:00|41.970634/-87.760895|41.970634|-87.760895|n/a|26224|3345|-87.6175903|41.7929603|41.9797233|-87.8822525|436|10610|450|-87.7611277|41.9708946
Washington Park Chicago IL||finish|tolls|Ohare Airport|driving|imperial|central|2017-04-12 05:24:00-05:00|41.977665/-87.904221|41.977665|-87.904221|n/a|39116|4245|-87.6175903|41.7929603|41.9797233|-87.8822525|526|7350|603|-87.9040972|41.9777944
Washington Park Chicago IL||finish|tolls|Ohare Airport|driving|imperial|central|2017-04-12 05:24:00-05:00|41.9100489/-87.6779633|41.9100489|-87.6779633|n/a|16245|2415|-87.6175903|41.7929603|41.9797233|-87.8822525|1060|21849|1160|-87.677963|41.9100511
Washington Park Chicago IL||finish|tolls|Ohare Airport|driving|imperial|central|2017-04-12 05:24:00-05:00|41.9823319/-87.8075119|41.9823319|-87.8075119|n/a|30489|3615|-87.6175903|41.7929603|41.9797233|-87.8822525|264|6370|274|-87.8075138|41.9824533
Washington Park Chicago IL|||tolls|Ohare Airport|driving|imperial|central|2017-04-12 05:36:00-05:00||41.9797233|-87.8822525|1605|36662|1839|-87.6175903|41.7929603|||||||
Washington Park Chicago IL|||tolls|Ohare Airport|driving|imperial|central|2017-04-12 05:48:00-05:00||41.977665|-87.904221|n/a|39116|4543|-87.6175903|41.7929603|||||||
Washington Park Chicago IL|||tolls|Ohare Airport|driving|imperial|central|2017-04-12 06:00:00-05:00||41.977665|-87.904221|n/a|39116|4543|-87.6175903|41.7929603|||||||
Washington Park Chicago IL||finish|tolls|Ohare Airport|driving|imperial|central|2017-04-12 05:48:00-05:00|41.8857335/-87.6315556|41.8857335|-87.6315556|1006|13304|1149|-87.6175903|41.7929603|41.977665|-87.904221|n/a|27722|2326|-87.6315547|41.8857522
Washington Park Chicago IL||finish|tolls|Ohare Airport|driving|imperial|central|2017-04-12 05:48:00-05:00|41.8774529/-87.6277226|41.8774529|-87.6277226|1038|11033|1121|-87.6175903|41.7929603|41.977665|-87.904221|n/a|28926|2683|-87.6277226|41.8774529
Washington Park Chicago IL||finish|tolls|Ohare Airport|driving|imperial|central|2017-04-12 05:48:00-05:00|41.8857694/-87.6279402|41.8857694|-87.6279402|1082|13604|1244|-87.6175903|41.7929603|41.977665|-87.904221|n/a|28000|2508|-87.6280222|41.885817
Washington Park Chicago IL||finish|tolls|Ohare Airport|driving|imperial|central|2017-04-12 05:48:00-05:00|41.7947391/-87.618398|41.7947391|-87.618398|116|536|110|-87.6175551|41.7929609|41.977665|-87.904221|n/a|38739|4260|-87.618324|41.795174
Washington Park Chicago IL||finish|tolls|Ohare Airport|driving|imperial|central|2017-04-12 05:48:00-05:00|41.8217417/-87.6215403|41.8217417|-87.6215403|414|3473|429|-87.6175903|41.7929603|41.977665|-87.904221|n/a|35619|3765|-87.621368|41.821732
Washington Park Chicago IL||finish|tolls|Ohare Airport|driving|imperial|central|2017-04-12 05:48:00-05:00|41.8527793/-87.626405|41.8527793|-87.626405|603|8184|626|-87.6175903|41.7929603|41.977665|-87.904221|n/a|31852|3335|-87.6264174|41.8526371
Washington Park Chicago IL||finish|tolls|Ohare Airport|driving|imperial|central|2017-04-12 05:48:00-05:00|41.816588/-87.6190088|41.816588|-87.6190088|372|3095|395|-87.6175903|41.7929603|41.977665|-87.904221|n/a|36371|3960|-87.619019|41.816463
Washington Park Chicago IL||finish|tolls|Ohare Airport|driving|imperial|central|2017-04-12 06:00:00-05:00|41.8857522/-87.6315547|41.8857522|-87.6315547|n/a|11394|1625|-87.6175903|41.7929603|41.9797233|-87.8822525|1202|26064|1314|-87.6315556|41.8857335
Washington Park Chicago IL||finish|tolls|Ohare Airport|driving|imperial|central|2017-04-12 06:00:00-05:00|41.983505/-87.85939|41.983505|-87.85939|n/a|34808|4223|-87.6175903|41.7929603|41.9797233|-87.8822525|88|2012|93|-87.8594793|41.9837411
Washington Park Chicago IL||finish|tolls|Ohare Airport|driving|imperial|central|2017-04-12 06:00:00-05:00|41.94738/-87.719063|41.94738|-87.719063|n/a|21893|3213|-87.6175903|41.7929603|41.9797233|-87.8822525|1003|23030|1017|-87.7191813|41.9472665
Washington Park Chicago IL||finish|tolls|Ohare Airport|driving|imperial|central|2017-04-12 06:00:00-05:00|41.970634/-87.760895|41.970634|-87.760895|n/a|26224|3623|-87.6175903|41.7929603|41.9797233|-87.8822525|480|10610|450|-87.7611277|41.9708946
Washington Park Chicago IL||finish|tolls|Ohare Airport|driving|imperial|central|2017-04-12 06:00:00-05:00|41.977665/-87.904221|41.977665|-87.904221|n/a|39116|4523|-87.6175903|41.7929603|41.9797233|-87.8822525|541|7350|603|-87.9040972|41.9777944
Washington Park Chicago IL||finish|tolls|Ohare Airport|driving|imperial|central|2017-04-12 06:00:00-05:00|41.9100489/-87.6779633|41.9100489|-87.6779633|n/a|16245|2693|-87.6175903|41.7929603|41.9797233|-87.8822525|1076|21849|1160|-87.677963|41.9100511
Washington Park Chicago IL||finish|tolls|Ohare Airport|driving|imperial|central|2017-04-12 06:00:00-05:00|41.9823319/-87.8075119|41.9823319|-87.8075119|n/a|30489|3893|-87.6175903|41.7929603|41.9797233|-87.8822525|270|6370|274|-87.8075138|41.9824533
Washington Park Chicago IL|||tolls|Ohare Airport|driving|imperial|central|2017-04-12 06:12:00-05:00||41.9797233|-87.8822525|1664|36662|1839|-87.6175903|41.7929603|||||||
