origin|avoid|destination|mode|units|timezone|departure_time|end_y|end_x|duration_in_traffic-sec|distance_m|duration-sec|start_x|start_y
(41.98800166666666, -87.6845495)||Harold Washington Library Center Chicago IL|transit|imperial|central|2017-04-19 05:00:00-05:00|41.8757209|-87.62820099999999|n/a|17182|3370|-87.6846564|41.9879945
(41.98800166666666, -87.665765)||Harold Washington Library Center Chicago IL|transit|imperial|central|2017-04-19 05:00:00-05:00|41.8757209|-87.62820099999999|n/a|15108|2482|-87.6657659|41.9880874
(41.978484333333334, -87.740903)||Harold Washington Library Center Chicago IL|transit|imperial|central|2017-04-19 05:00:00-05:00|41.8757209|-87.62820099999999|n/a|18148|4175|-87.7409524|41.9788342
(41.978484333333334, -87.7221185)||Harold Washington Library Center Chicago IL|transit|imperial|central|2017-04-19 05:00:00-05:00|41.8757209|-87.62820099999999|n/a|16996|3077|-87.7221033|41.9784435
(41.978484333333334, -87.703334)||Harold Washington Library Center Chicago IL|transit|imperial|central|2017-04-19 05:00:00-05:00|41.8757209|-87.62820099999999|n/a|17220|3016|-87.7033344|41.9785249
(41.978484333333334, -87.6845495)||Harold Washington Library Center Chicago IL|transit|imperial|central|2017-04-19 05:00:00-05:00|41.8757209|-87.62820099999999|n/a|15620|2669|-87.68437139999999|41.9784878
(41.978484333333334, -87.665765)||Harold Washington Library Center Chicago IL|transit|imperial|central|2017-04-19 05:00:00-05:00|41.8757209|-87.62820099999999|n/a|13608|2191|-87.6657654|41.9785125
(41.968967, -87.740903)||Harold Washington Library Center Chicago IL|transit|imperial|central|2017-04-19 05:00:00-05:00|41.8757209|-87.62820099999999|n/a|15869|2616|-87.74082790000001|41.9690344
(41.968967, -87.7221185)||Harold Washington Library Center Chicago IL|transit|imperial|central|2017-04-19 05:00:00-05:00|41.8757209|-87.62820099999999|n/a|17367|2949|-87.721927|41.9689707
(41.968967, -87.703334)||Harold Washington Library Center Chicago IL|transit|imperial|central|2017-04-19 05:00:00-05:00|41.8757209|-87.62820099999999|n/a|15881|2480|-87.70365199999999|41.9689583
(41.968967, -87.6845495)||Harold Washington Library Center Chicago IL|transit|imperial|central|2017-04-19 05:00:00-05:00|41.8757209|-87.62820099999999|n/a|14213|2411|-87.6845398|41.9686716
(41.968967, -87.665765)||Harold Washington Library Center Chicago IL|transit|imperial|central|2017-04-19 05:00:00-05:00|41.8757209|-87.62820099999999|n/a|12591|2020|-87.6657639|41.9689286
(41.997519, -87.740903)|tolls|Harold Washington Library Center Chicago IL|driving|imperial|central|2017-04-19 05:15:00-05:00|41.87630559999999|-87.6276298|1007|20518|1229|-87.7410494|41.9975217
(41.997519, -87.7221185)|tolls|Harold Washington Library Center Chicago IL|driving|imperial|central|2017-04-19 05:15:00-05:00|41.87630559999999|-87.6276298|1090|22058|1329|-87.722117|41.9973204
