origin|split_on_leg|drive_leg|avoid|destination|mode|units|timezone|departure_time|split_point|end_y|end_x|duration_in_traffic-sec|distance_m|duration-sec|start_x|start_y|end_y|end_x|duration_in_traffic-sec|distance_m|duration-sec|start_x|start_y
Harvard transit station Boston MA|||tolls|Airport station Boston MA|driving|imperial|eastern|2017-04-21 04:00:00-05:00||42.3747715|-71.0290294|1387|18524|1504|-71.1191387|42.3736294|||||||
Harvard transit station Boston MA|begin|finish||Airport station Boston MA|transit|imperial|eastern|2017-04-21 04:00:00-05:00||42.37426199999999|-71.03039500000001|n/a|10935|2417|-71.1189852|42.3743279|||||||
Harvard transit station Boston MA|end|start||Airport station Boston MA|transit|imperial|eastern|2017-04-21 04:00:00-05:00||42.37426199999999|-71.03039500000001|n/a|10935|2417|-71.1189852|42.3743279|||||||
Harvard transit station Boston MA|begin|finish||Airport station Boston MA|transit|imperial|eastern|2017-04-21 04:00:00-05:00|Massachusetts Ave @ Johnston Gate|42.3748663|-71.11851820000001|n/a|54|40|-71.11873600000001|42.3744235|42.3747715|-71.0290294|956|13878|1123|-71.1186191|42.3748754
Harvard transit station Boston MA|begin|finish||Airport station Boston MA|transit|imperial|eastern|2017-04-21 04:00:00-05:00|Massachusetts Ave @ Pleasant St|42.366717|-71.10610199999999|n/a|2024|428|-71.1189852|42.3743279|42.3747715|-71.0290294|846|13165|993|-71.1060218|42.3667859
Harvard transit station Boston MA|begin|finish||Airport station Boston MA|transit|imperial|eastern|2017-04-21 04:00:00-05:00|Massachusetts Ave @ Bow St|42.372114|-71.1153885|n/a|360|275|-71.1190302|42.3733846|42.3747715|-71.0290294|822|13107|974|-71.1154406|42.3720809
Harvard transit station Boston MA|begin|finish||Airport station Boston MA|transit|imperial|eastern|2017-04-21 04:00:00-05:00|Hynes Convention Center|42.347839|-71.0878674|n/a|4691|1170|-71.1189852|42.3743279|42.3747715|-71.0290294|700|14125|783|-71.08769769999999|42.3476879
Harvard transit station Boston MA|begin|finish||Airport station Boston MA|transit|imperial|eastern|2017-04-21 04:00:00-05:00|Massachusetts Ave @ Memorial Dr|42.357596|-71.09279699999999|n/a|3537|984|-71.1189852|42.3743279|42.3747715|-71.0290294|722|9106|773|-71.09279699999999|42.357596
Harvard transit station Boston MA|begin|finish||Airport station Boston MA|transit|imperial|eastern|2017-04-21 04:00:00-05:00|Massachusetts Avenue/Landsdowne St.|42.3615322|-71.0980015|n/a|2967|856|-71.1189852|42.3743279|42.3747715|-71.0290294|854|9770|963|-71.0980015|42.3615322
Harvard transit station Boston MA|begin|finish||Airport station Boston MA|transit|imperial|eastern|2017-04-21 04:00:00-05:00|Massachusetts Ave @ Dana St|42.368951|-71.110427|n/a|1587|336|-71.1189852|42.3743279|42.3747715|-71.0290294|837|13327|983|-71.11082309999999|42.3691895
Harvard transit station Boston MA|end|start||Airport station Boston MA|transit|imperial|eastern|2017-04-21 04:00:00-05:00|State|42.35866960000001|-71.0571914|823|10442|932|-71.1186766|42.37328970000001|42.37426199999999|-71.03039500000001|n/a|3042|368|-71.0573287|42.3587181
