origin|units|destination|mode|departure_time|distance|end_y|end_x|start_x|start_y|duration
1 World Trade Center|imperial|Yankee Stadium|driving|2017-03-20 23:14:59.991674|13.0 mi|40.8312158|-73.9266525|-74.0140115|40.7127102|28 mins
1 World Trade Center|imperial|Yankee Stadium|driving|2017-03-20 23:17:59.995358|13.0 mi|40.8312158|-73.9266525|-74.0140115|40.7127102|28 mins
1 World Trade Center|imperial|Yankee Stadium|driving|2017-03-20 23:20:59.995847|13.0 mi|40.8312158|-73.9266525|-74.0140115|40.7127102|29 mins
1 World Trade Center|imperial|Yankee Stadium|driving|2017-03-20 23:23:59.994616|13.0 mi|40.8312158|-73.9266525|-74.0140115|40.7127102|28 mins
1 World Trade Center|imperial|Yankee Stadium|driving|2017-03-20 23:26:59.994644|13.0 mi|40.8312158|-73.9266525|-74.0140115|40.7127102|29 mins
1 World Trade Center|imperial|Yankee Stadium|driving|2017-03-20 23:29:59.994365|13.0 mi|40.8312158|-73.9266525|-74.0140115|40.7127102|29 mins
