origin|units|destination|mode|departure_time|distance|end_y|end_x|start_x|start_y|duration
1 World Trade Center|imperial|JFK Airport|driving|2017-03-20 23:19:59.981720|20.6 mi|40.65560869999999|-73.8075441|-74.0140115|40.7127102|30 mins
1 World Trade Center|imperial|JFK Airport|driving|2017-03-20 23:21:59.996486|20.6 mi|40.65560869999999|-73.8075441|-74.0140115|40.7127102|30 mins
1 World Trade Center|imperial|JFK Airport|driving|2017-03-20 23:23:59.996600|20.6 mi|40.65560869999999|-73.8075441|-74.0140115|40.7127102|30 mins
1 World Trade Center|imperial|JFK Airport|driving|2017-03-20 23:25:59.996426|20.6 mi|40.65560869999999|-73.8075441|-74.0140115|40.7127102|30 mins
1 World Trade Center|imperial|JFK Airport|driving|2017-03-20 23:27:59.996332|20.6 mi|40.65560869999999|-73.8075441|-74.0140115|40.7127102|29 mins
